Scheduler Simulation Report

Jobs Executed: 500
Minimum Wait:  0
Maximum Wait:  4918
Average Wait:  321.34068136272543

Priority  Count  Min. Wait  Max. Wait  Avg. Wait
-12       1      6          6          6.0      
-10       1      10         10         10.0     
-9        1      1          1          1.0      
-8        7      2          11         6.428571428571429
-7        2      4          4          4.0      
-6        12     2          10         6.25     
-5        18     3          12         6.166666666666667
-4        22     1          13         6.318181818181818
-3        45     0          24         6.377777777777778
-2        42     0          37         6.261904761904762
-1        51     0          37         6.235294117647059
0         71     0          74         10.070422535211268
1         61     0          118        16.524590163934427
2         59     0          348        42.11864406779661
3         43     0          1321       400.4186046511628
4         33     6          4335       2155.6969696969695
5         19     115        4309       1864.2631578947369
6         8      888        4918       3028.125 
7         1      1329       1329       1329.0   
8         1      2107       2107       2107.0   
10        1      3440       3440       3440.0   
